LeetcodeId,Title,Acceptance,Difficulty,Frequency,Topic,Company
322,Coin Change    ,0.295,Medium,10,Dynamic Programming,google|amazon|facebook|microsoft|bloomberg|adobe|apple|linkedin|airbnb|goldman-sachs|ebay|vmware|walmart-labs|hulu|visa|jpmorgan|qualtrics|capital-one|groupon
9,Palindrome Number    ,0.424,Easy,10,Math,google|amazon|facebook|microsoft|bloomberg|adobe|apple|yahoo|alibaba|airbnb|baidu|goldman-sachs|tencent|cisco|aetion|godaddy|huawei|jpmorgan|affirm|blackrock|MAQ Software
10,Regular Expression Matching    ,0.251,Hard,10,Dynamic Programming|String|Backtracking,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|yahoo|alibaba|airbnb|baidu|twitter|oracle|yelp|vmware|pocket-gems|two-sigma|palantir-technologies|coursera
482,License Key Formatting    ,0.405,Easy,10,,google|amazon
289,Game of Life    ,0.44,Medium,10,Array,google|amazon|microsoft|bloomberg|uber|apple|baidu|snapchat|two-sigma|dropbox|square|bookingcom
560,Subarray Sum Equals K    ,0.418,Medium,10,HashTable|Array,google|amazon|facebook|microsoft|bloomberg|apple|alibaba|snapchat|goldman-sachs|expedia|indeed|yandex|twilio
54,Spiral Matrix    ,0.299,Medium,10,Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|yahoo|baidu|ebay|tencent|yelp|walmart-labs|cisco|paypal|zillow|hulu|servicenow|epic-systems|redfin|Dataminr
829,Consecutive Numbers Sum    ,0.324,Hard,10,Math,adobe|uber|airbnb|visa
412,Fizz Buzz    ,0.59,Easy,10,,google|amazon|facebook|microsoft|bloomberg|adobe|apple|linkedin|yahoo|oracle|ebay|vmware|cisco|paypal|zillow|capital-one|ibm|qualcomm
46,Permutations    ,0.539,Medium,10,Backtracking,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|baidu|oracle|ebay|tencent|yelp|vmware|walmart-labs|salesforce|cisco|paypal|two-sigma|netease|sap|godaddy|citadel|epic-systems
642,Design Search Autocomplete System    ,0.364,Hard,10,Design|Trie,google|amazon|facebook|microsoft|bloomberg|uber|salesforce|lyft|indeed
85,Maximal Rectangle    ,0.326,Hard,10,HashTable|Array|Dynamic Programming|Stack,google|amazon|facebook|microsoft|adobe|uber|vmware|intuit|indeed|affirm
8,String to Integer (atoi)    ,0.145,Medium,10,Math|String,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|goldman-sachs|ebay|tencent|vmware|cisco|zillow|sap|huawei|citrix|redfin
49,Group Anagrams    ,0.453,Medium,10,HashTable|String,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|yahoo|alibaba|airbnb|twitter|goldman-sachs|ebay|yelp|vmware|walmart-labs|salesforce|pinterest|zillow|hulu|yandex|qualtrics|affirm|twilio|bookingcom|netflix
399,Evaluate Division    ,0.469,Medium,10,Graph|Union Find,google|amazon|facebook|bloomberg|adobe|uber
17,Letter Combinations of a Phone Number    ,0.408,Medium,10,String|Backtracking,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|snapchat|oracle|ebay|yelp|vmware|walmart-labs|lyft|paypal|pinterest|dropbox|square|godaddy|epic-systems|morgan-stanley|Symantec
215,Kth Largest Element in an Array    ,0.465,Medium,10,Heap|Divide and Conquer,google|amazon|facebook|microsoft|bloomberg|apple|linkedin|alibaba|airbnb|baidu|snapchat|twitter|goldman-sachs|ebay|tencent|yelp|vmware|pocket-gems|nvidia|ixl
88,Merge Sorted Array    ,0.351,Easy,10,Two Pointers|Array,google|amazon|facebook|microsoft|bloomberg|adobe|apple|linkedin|airbnb|baidu|goldman-sachs|tencent|yelp|walmart-labs|expedia|cisco|indeed|intel|ibm|citrix|morgan-stanley|quip
139,Word Break    ,0.346,Medium,10,Dynamic Programming,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|yahoo|alibaba|snapchat|twitter|oracle|ebay|yelp|vmware|walmart-labs|lyft|zenefits|paypal|pinterest|zillow|pocket-gems|square|qualtrics|coupang|twilio
79,Word Search    ,0.306,Medium,10,Array|Backtracking,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|snapchat|oracle|walmart-labs|lyft|pinterest|zillow|square|databricks
224,Basic Calculator    ,0.32,Hard,10,Math|Stack,google|amazon|facebook|microsoft|adobe|uber|airbnb|paypal|pinterest|pocket-gems|intuit|indeed|Roblox|Jump Trading
